pair_ID	sentence_A	parse_A	sentence_B	parse_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
79	People are looking at some costumes gathered in the vicinity of the forest	(ROOT (S (NP (NNS People)) (VP (VBP are) (VP (VBG looking) (PP (IN at) (NP (NP (DT some) (NNS costumes)) (VP (VBN gathered) (PP (IN in) (NP (NP (DT the) (NN vicinity)) (PP (IN of) (NP (DT the) (NN forest)))))))))) (. .)))	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	NEUTRAL	3.635	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
80	Masked people are looking in the same direction in a forest	(ROOT (S (NP (JJ Masked) (NNS people)) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (NP (DT the) (JJ same) (NN direction)) (PP (IN in) (NP (DT a) (NN forest))))))) (. .)))	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	NEUTRAL	1.3	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
81	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	People wearing costumes are scattering in a forest and are looking in different directions	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG scattering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (JJ different) (NNS directions)))))) (. .)))	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
82	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	People are looking at some costumes gathered in the vicinity of the forest	(ROOT (S (NP (NNS People)) (VP (VBP are) (VP (VBG looking) (PP (IN at) (NP (NP (DT some) (NNS costumes)) (VP (VBN gathered) (PP (IN in) (NP (NP (DT the) (NN vicinity)) (PP (IN of) (NP (DT the) (NN forest)))))))))) (. .)))	NEUTRAL	2.6	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
83	A young girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ young) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	NEUTRAL	2.2	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
84	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	The little girl is looking at a man in costume	(ROOT (S (NP (DT The) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NN costume))))))) (. .)))	NEUTRAL	3	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
85	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	A little girl in costume looks like a woman	(ROOT (S (NP (NP (DT A) (JJ little) (NN girl)) (PP (IN in) (NP (NN costume)))) (VP (VBZ looks) (PP (IN like) (NP (DT a) (NN woman)))) (. .)))	NEUTRAL	2	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
86	A little girl is looking at a woman in costume	(ROOT (S (NP (DT A) (JJ little) (NN girl)) (VP (VBZ is) (VP (VBG looking) (PP (IN at) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NN costume))))))) (. .)))	People wearing costumes are gathering in a forest and are looking in the same direction	(ROOT (S (NP (NP (NNS People)) (VP (VBG wearing) (NP (NNS costumes)))) (VP (VP (VBP are) (VP (VBG gathering) (PP (IN in) (NP (DT a) (NN forest))))) (CC and) (VP (VBP are) (VP (VBG looking) (PP (IN in) (NP (DT the) (JJ same) (NN direction)))))) (. .)))	NEUTRAL	2.6	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
87	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	A biker is jumping in the air, alone	(ROOT (S (NP (DT A) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))) (, ,) (ADVP (RB alone)))) (. .)))	ENTAILMENT	5	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
88	There is no biker jumping in the air	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN biker)) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air)))))) (. .)))	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
89	A man is jumping into an empty swimming pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN swimming) (NN pool))))) (. .)))	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
90	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	A man is jumping into a full pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT a) (JJ full) (NN pool))))) (. .)))	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
91	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	The man's jumper is in the empty pool	(ROOT (S (NP (NP (DT The) (NN man) (POS 's)) (NN jumper)) (VP (VBZ is) (PP (IN in) (NP (DT the) (JJ empty) (NN pool)))) (. .)))	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
92	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	A man is jumping into an empty swimming pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN swimming) (NN pool))))) (. .)))	NEUTRAL	1.6	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
93	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	A man is jumping into a full pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT a) (JJ full) (NN pool))))) (. .)))	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
94	The man's jumper is in the empty pool	(ROOT (S (NP (NP (DT The) (NN man) (POS 's)) (NN jumper)) (VP (VBZ is) (PP (IN in) (NP (DT the) (JJ empty) (NN pool)))) (. .)))	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	NEUTRAL	1.4	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
95	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	A biker is jumping in the air, alone	(ROOT (S (NP (DT A) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))) (, ,) (ADVP (RB alone)))) (. .)))	NEUTRAL	1.6	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
96	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	There is no biker jumping in the air	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN biker)) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air)))))) (. .)))	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TEST
97	A lone biker is jumping in the air	(ROOT (S (NP (DT A) (JJ lone) (NN biker)) (VP (VBZ is) (VP (VBG jumping) (PP (IN in) (NP (DT the) (NN air))))) (. .)))	A man is jumping into an empty pool	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (VP (VBG jumping) (PP (IN into) (NP (DT an) (JJ empty) (NN pool))))) (. .)))	NEUTRAL	1.5	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
98	Four kids are doing backbends in the park	(ROOT (S (NP (CD Four) (NNS kids)) (VP (VBP are) (VP (VBG doing) (NP (NP (NNS backbends)) (PP (IN in) (NP (DT the) (NN park)))))) (. .)))	Four children are doing backbends in the park	(ROOT (S (NP (CD Four) (NNS children)) (VP (VBP are) (VP (VBG doing) (NP (NP (NNS backbends)) (PP (IN in) (NP (DT the) (NN park)))))) (. .)))	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
99	Four children are doing backbends in the gym	(ROOT (S (NP (CD Four) (NNS children)) (VP (VBP are) (VP (VBG doing) (NP (NP (NNS backbends)) (PP (IN in) (NP (DT the) (NN gym)))))) (. .)))	Four children are doing backbends in the park	(ROOT (S (NP (CD Four) (NNS children)) (VP (VBP are) (VP (VBG doing) (NP (NP (NNS backbends)) (PP (IN in) (NP (DT the) (NN park)))))) (. .)))	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
100	Four girls are doing backbends and playing in the garden	(ROOT (S (NP (CD Four) (NNS girls)) (VP (VBP are) (VP (VP (VBG doing) (NP (NNS backbends))) (CC and) (VP (VBG playing) (PP (IN in) (NP (DT the) (NN garden)))))) (. .)))	Four girls are doing backbends and playing outdoors	(ROOT (S (NP (CD Four) (NNS girls)) (VP (VBP are) (VP (VP (VBG doing) (NP (NNS backbends))) (CC and) (VP (VBG playing) (NP (NNS outdoors))))) (. .)))	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TRAIN
